(b44d,1bb3f) (10175,1bb3f)
(d35b,1f129) (52d3,1f129)
(37f97,583a5) (10927,583a5)
(26b21,30f49) (1ca15,30f49)
(1aa65,2cb39) (988d,2cb39)
(6fd49,aba21) (b4dd,aba21)
(16e5f,184b7) (103cf,184b7)
(1bc5,3640d) (76e5,3640d)
(1344b,13837) (e963,13837)
(152d,4c5d) (ee5,4c5d)
(12337,7eeab) (7db87,7eeab)
(50ef,1cc57) (17a6f,1cc57)
(37cdf,4d345) (311f3,4d345)
(6f2b,d7ed) (b80f,d7ed)
(11c27,13eb9) (f24b,13eb9)
(c65f,1ede7) (aa47,1ede7)
(169d5,4c7bd) (2d901,4c7bd)
(35857,50b21) (41477,50b21)
(61abf,7a629) (6533f,7a629)
(105d,77a5) (7075,77a5)
(1921,6133) (5209,6133)
(969d7,9b91d) (77f4b,9b91d)
(9b837,b9ffb) (7c07,b9ffb)
(f1c5,106e1) (302d,106e1)
(cde5,e21f) (844d,e21f)
(35f87,919d5) (487b7,919d5)
(6d0d,1dbd5) (7ec5,1dbd5)
(19f09,86e55) (185b9,86e55)
(2b903,2ca61) (1d9b3,2ca61)
(3399d,5c10d) (1aca1,5c10d)
(a049,29287) (1fcf9,29287)
(157f,122cf) (2fd7,122cf)
(9f8f,1f681) (679f,1f681)
(1b5ff,26155) (3ebf,26155)
(15967,1e7ab) (6317,1e7ab)
(2bf3,144b3) (10f4b,144b3)
(212d1,51fad) (5fd1,51fad)
(881,573b) (1211,573b)
(1c05d,63223) (57ad5,63223)
(27f07,6bd6d) (4cd2f,6bd6d)
(67f43,6dddd) (2946b,6dddd)
(6ffad,7f4c5) (2f375,7f4c5)
(3e809,63313) (32c11,63313)
(5db,f3dd) (2a17,f3dd)
(a067,ee45) (5057,ee45)
(4f27,be31) (2767,be31)
(12f55,17cef) (4f9d,17cef)
(14b5d,3448d) (2e5c1,3448d)
(44981,98d2f) (44981,98d2f)
(51c0d,6739d) (3b629,6739d)
(566b9,5a66b) (4a089,5a66b)
(69719,83d41) (21bf9,83d41)
(5a605,857d5) (51acd,857d5)
(2ca8d,6f32b) (48b55,6f32b)
(3c331,44611) (2b321,44611)
(16343,1a58d) (624b,1a58d)
(b111,5a2ed) (1def1,5a2ed)
(8ccbb,b1ca3) (67f33,b1ca3)
(a74d,21b71) (19e55,21b71)
(ec03,66191) (486fb,66191)
(14e75,6ad4b) (7c8d,6ad4b)
(1209b,171a7) (5393,171a7)
(28515,2b5a9) (167e1,2b5a9)
(550c7,69877) (33f8f,69877)
(45421,7f4d7) (7c111,7f4d7)
(247d,17d67) (81ed,17d67)
(14515,779bf) (4075,779bf)
(b91d,31b71) (16d95,31b71)
(b3b9,1511b) (4339,1511b)
(1936d,1f8f7) (1ca65,1f8f7)
(1373b,2e9b7) (1e523,2e9b7)
(7fc3,54767) (1e8cb,54767)
(e821,76307) (27361,76307)
(3624d,5c261) (1a6dd,5c261)
(29ef,5ef3) (559f,5ef3)
(18571,1936d) (14eed,1936d)
(111e9,77933) (105b9,77933)
(56a3,f29b) (449b,f29b)
(5f6f,dc43) (a10f,dc43)
(709ab,cc955) (1fceb,cc955)
(8e75,4731b) (36b1d,4731b)
(30325,36f53) (3252d,36f53)
(3b27,5531) (1c97,5531)
(1f4fb,62b09) (1d33b,62b09)
(1541d,3ce95) (164fd,3ce95)
(319d,20951) (1e065,20951)
(59bf,1ffd5) (de4f,1ffd5)
(6600f,67213) (59fef,67213)
(1d2e7,40a3f) (3b437,40a3f)
(36e3,1f781) (1cc5b,1f781)
(4199,175bd) (139a9,175bd)
(15f41,2aa5b) (27311,2aa5b)
(1c01f,24a57) (1accf,24a57)
(1edc3,2e613) (236b,2e613)
(107ef,3e263) (efef,3e263)
(47fed,7a2a3) (2af05,7a2a3)
(5309,564a9) (4b3f5,564a9)
(69dd,3542f) (32dad,3542f)
(6809,13459) (d439,13459)
(2286b,57359) (489ef,57359)
(33c5,6dc7) (5165,6dc7)
(3b63,3dae7) (34bb3,3dae7)
(2149f,35627) (d75f,35627)
(7a7d,48d1b) (4592d,48d1b)
(1f969,270fd) (1cbd9,270fd)
(4182b,8ea3b) (193e3,8ea3b)
(2777,26a83) (1d8af,26a83)
(11b71,32251) (1bb21,32251)
(546cd,954a1) (ff3d,954a1)
(190f7,98a41) (880c7,98a41)
(9029,15fad) (11c99,15fad)
(6983,dfdf) (c72b,dfdf)
(216f5,310d5) (171f5,310d5)
(22fcf,2576b) (13caf,2576b)
(14c0f,24c73) (650f,24c73)
(69b3f,aba21) (3e537,aba21)
(21c25,41cdb) (38c4d,41cdb)
(233e7,3f991) (2be6b,3f991)
(1569b,5d3e3) (3ed23,5d3e3)
(1eeef,2a7b1) (26397,2a7b1)
(7ff7d,82b85) (18b35,82b85)
(128b1,12cbb) (2bf9,12cbb)
(16b1,6ded) (3289,6ded)
(5e9,b6ab) (a8a9,b6ab)
(a60d,19a8d) (11ddd,19a8d)
(2a6e9,40dcf) (37e89,40dcf)
(4a389,5b99d) (4aa19,5b99d)
(7f7b,19bf5) (14827,19bf5)
(42b83,89893) (5078b,89893)
(6ada1,74a0d) (29dc1,74a0d)
(449c9,44ea5) (37985,44ea5)
(50cc9,5dffb) (570b9,5dffb)
(4e14f,53ca7) (3e78f,53ca7)
(77f5,2dce3) (f2dd,2dce3)
(fa97,2f5e7) (18cf,2f5e7)
(9329,17785) (9f21,17785)
(5231,18b63) (fd79,18b63)
(1a4d1,437d1) (36915,437d1)
(45497,abd07) (a982f,abd07)
(1e453,5118d) (211db,5118d)
(9b203,e0fcf) (d100b,e0fcf)
(4f937,9d7f5) (8a03b,9d7f5)
(1febd,6e2c9) (40b95,6e2c9)
(721df,80e1f) (67ed7,80e1f)
(1151,43f7) (31c1,43f7)
(2ae3f,2bbe9) (f9bf,2bbe9)
(1043f,5440d) (2e07f,5440d)
(7853,18175) (1221b,18175)
(533f,2ebfb) (1e0bf,2ebfb)
(13029,25879) (10369,25879)
(7257b,8334b) (78953,8334b)
(12619,1891d) (f829,1891d)
(18917,19b49) (a9f7,19b49)
(1e001,371e3) (c301,371e3)
(3295,ea07) (5f1d,ea07)
(18c07,43591) (3c6fb,43591)
(5783,74705) (2682b,74705)
(274b1,3d895) (39871,3d895)
(1cb55,264ef) (180d,264ef)
(43807,47849) (325b7,47849)
(165b3,3d727) (4fd3,3d727)
(2062b,3bdeb) (25ce3,3bdeb)
(127d7,1cfe1) (b2f7,1cfe1)
(10d8d,71f5f) (4f745,71f5f)
(8f1f,1e7ab) (eaff,1e7ab)
(2e4b,5413d) (31543,5413d)
(4d551,8f1d7) (6c31,8f1d7)
(e983,96f97) (1268b,96f97)
(13123,25153) (1670b,25153)
(429c1,54c11) (30805,54c11)
(7b79,19fc7) (4c81,19fc7)
(108e9,16321) (9389,16321)
(d073,27acf) (fc83,27acf)
(1c2e9,36cc5) (959,36cc5)
(56657,5feed) (1e92b,5feed)
(2776f,3a961) (1357f,3a961)
(28765,40111) (2cafd,40111)
(4d4ff,5ee13) (4d58f,5ee13)
(371f5,6dddd) (49c51,6dddd)
(23fa7,6d441) (4562b,6d441)
(2153,60b81) (3ad4b,60b81)
(a8cd,ab91) (2525,ab91)
(148a9,9ee27) (67fd9,9ee27)
(8f65,14b43) (1071d,14b43)
(588d,209c9) (7921,209c9)
(3dbdf,56ea9) (4201f,56ea9)
(8fcf7,9c127) (e087,9c127)
(15a8b,1a1bf) (14f3,1a1bf)
(4a9d1,608ef) (12f01,608ef)
(32bf,89b1) (691f,89b1)
(30c49,4379b) (4a29,4379b)
(47927,47e75) (1ba57,47e75)
(88cdb,bdb7b) (4b4db,bdb7b)
(191e9,1a467) (ea69,1a467)
(1b34f,8654f) (6d27f,8654f)
(11cdf,2e051) (1449f,2e051)
(747bf,77737) (6317f,77737)
(c1a5,38ca5) (f84d,38ca5)
(1dcb,3558b) (10963,3558b)
(18ded,a72ed) (3f565,a72ed)
(913f,11cc3) (5467,11cc3)
(2f7b7,59eff) (50dc7,59eff)
(1f759,3d9ed) (22add,3d9ed)
(14871,1f681) (c751,1f681)
(1df5,28a3) (114d,28a3)
(1b6f1,2f5e7) (1e31,2f5e7)
(47bd,e179) (b385,e179)
(489f1,7bad5) (cac9,7bad5)
(157ad,32ad9) (245b9,32ad9)
(50239,875c9) (1e685,875c9)
(5819,1bddb) (6b39,1bddb)
(9fdf,d2a9) (2a5b,d2a9)
(aa197,c3f71) (604b7,c3f71)
(8ddf,60541) (5972b,60541)
(1a279,1c36f) (50e1,1c36f)
(53fed,58bf5) (ff65,58bf5)
(22ab,cb0f) (c7c3,cb0f)
(41033,48e23) (34d93,48e23)
(2b67,13a9f) (b237,13a9f)
(9487,188db) (11917,188db)
(41bd3,4b88d) (2721b,4b88d)
(d259,16a4b) (cbc9,16a4b)
(c73,a57eb) (77a8b,a57eb)
(42ae3,4bd0f) (3f53b,4bd0f)
(1f8b3,5a1f3) (364db,5a1f3)
(2c39,21a0d) (a529,21a0d)
(243b5,63223) (5e75,63223)
(113b,8071) (6267,8071)
(1d113,5e29b) (5c9b,5e29b)
(8c4b,30e1b) (168e3,30e1b)
(7099,2bc61) (19ba9,2bc61)
(59369,5b3af) (2a479,5b3af)
(6e77,960d) (3867,960d)
(49e7,1419d) (fc57,1419d)
(64fd7,75cbb) (35e17,75cbb)
(113f,7b3a1) (66653,7b3a1)
(19ab7,64be9) (51587,64be9)
(4c93,1d02d) (ff7f,1d02d)
(503f,5a635) (119ab,5a635)
(9431,ad23) (389,ad23)
(2357,24f8f) (18437,24f8f)
(43157,48e23) (4424f,48e23)
(69a9,31991) (b1d9,31991)
(32fdb,4281d) (3a1ff,4281d)
(b6f,68ad) (341f,68ad)
(4a917,92521) (871f,92521)
(1426f,1e565) (190cf,1e565)
(819d,a15d) (8035,a15d)
(26227,332cb) (cd8f,332cb)
(3f1,58cc9) (51931,58cc9)
(cb99,19c09) (3f29,19c09)
(78f1,1a525) (199ed,1a525)
(3af5d,42803) (1b955,42803)
(5b6eb,9842b) (125c3,9842b)
(69713,711f5) (4964f,711f5)
(1769,18bd1) (b68d,18bd1)
(9fb3,1547b) (47b,1547b)
(38d8f,86483) (12aaf,86483)
(2abb1,63971) (34e7d,63971)
(1f74f,53dfd) (43687,53dfd)
(28605,57001) (353cd,57001)
(9acc3,b321f) (5d20b,b321f)
(15197,1ccdf) (1d27,1ccdf)
(3fc1,4fbd) (1761,4fbd)
(59395,65855) (27d81,65855)
(70cbf,c06a3) (4d69f,c06a3)
(d69d,10ac9) (7325,10ac9)
(f0af,1cfc1) (cc1f,1cfc1)
(3c7f,7d6f) (3b77,7d6f)
(3727,55747) (28987,55747)
(1627,c605) (3c1f,c605)
(1e1c3,487c7) (2714b,487c7)
(a1ab,13103) (d523,13103)
(637,297c7) (1ee2f,297c7)
(29bff,4ed0f) (4d97f,4ed0f)
(189d,171ad) (1195,171ad)
(1a153,3ef77) (28b23,3ef77)
(12f55,48d21) (27e4d,48d21)
(19955,1f93f) (ba35,1f93f)
(270c5,56db9) (3ee55,56db9)
(a29f5,ada1d) (6412d,ada1d)
(5cff,16007) (11207,16007)
(5fef,f557) (6247,f557)
(4137b,49315) (3ec93,49315)
(d483,208f3) (1f0ab,208f3)
(2e083,41959) (192b,41959)
(925,17c3f) (4c2d,17c3f)
(3c95b,93c13) (168d3,93c13)
(e65f,22877) (82cf,22877)
(1cd21,59471) (258d1,59471)
(12657,39b17) (28bd7,39b17)
(a2a3,26e61) (f29b,26e61)
(760f1,7e0a3) (64211,7e0a3)
(192a9,4b229) (46f79,4b229)
(18d31,26905) (47cd,26905)
(bcb7,203ef) (5ecf,203ef)
(1b98f,627f1) (21c8f,627f1)
(12c71,20b21) (1841,20b21)
(185cd,20b09) (4f05,20b09)
(17aa5,28141) (13d25,28141)
